Date Rptd,DATE OCC,TIME OCC,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
4/21/2020 0:00,4/21/2020 0:00,100,Harbor,501,1,210,ROBBERY,0,X,X,STREET,101.0,REVOLVER,IC,Invest Cont,210.0,DENVER,184TH                        ST,33.8648,-118.2931
8/3/2020 0:00,8/3/2020 0:00,1430,Hollywood,636,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",37,M,H,STREET,308.0,STICK,AO,Adult Other,230.0,LAS PALMAS,HOLLYWOOD,34.1016,-118.3362
10/20/2020 0:00,10/19/2020 0:00,2330,Olympic,2038,2,624,BATTERY - SIMPLE ASSAULT,34,M,B,MTA - PURPLE LINE - WILSHIRE/VERMONT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,WILSHIRE                     BL,VERMONT                      AV,34.0618,-118.2917
11/18/2020 0:00,11/18/2020 0:00,1400,Hollywood,647,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,F,B,SIDEWALK,308.0,STICK,IC,Invest Cont,230.0,SUNSET                       BL,EL CENTRO,34.098,-118.3237
1/26/2020 0:00,1/26/2020 0:00,1230,N Hollywood,1538,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),13,F,W,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812.0,LANKERSHIM                   BL,TIARA                        ST,34.1758,-118.3746
4/24/2020 0:00,4/24/2020 0:00,30,Rampart,256,1,210,ROBBERY,42,M,H,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,BURLINGTON,7TH                          ST,34.055,-118.2735
5/29/2020 0:00,5/28/2020 0:00,2330,West LA,884,1,210,ROBBERY,39,M,H,SIDEWALK,113.0,SIMULATED GUN,AA,Adult Arrest,210.0,WESTWOOD                     BL,ASHBY                        AV,34.0372,-118.4261
4/19/2020 0:00,4/18/2020 0:00,2240,Van Nuys,911,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0,M,O,MINI-MART,308.0,STICK,AA,Adult Arrest,230.0,SEPULVEDA,VANOWEN,34.1939,-118.4662
12/31/2020 0:00,12/24/2020 0:00,1245,Newton,1353,2,624,BATTERY - SIMPLE ASSAULT,39,M,O,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,STANFORD                     AV,VERNON                       AV,34.0039,-118.264
9/6/2020 0:00,9/6/2020 0:00,745,Central,155,2,624,BATTERY - SIMPLE ASSAULT,58,F,H,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,WALL,5TH,34.0449,-118.2458
6/1/2020 0:00,6/1/2020 0:00,1824,Topanga,2146,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,40,M,O,STREET,307.0,VEHICLE,AA,Adult Arrest,231.0,ALABAMA                      AV,VANOWEN                      ST,34.1938,-118.599
2/7/2020 0:00,2/6/2020 0:00,1740,Van Nuys,966,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",54,M,W,PARKING LOT,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,230.0,NAGLE,RIVERSIDE                    DR,34.1576,-118.4236
5/14/2020 0:00,5/14/2020 0:00,2200,Hollenbeck,457,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",48,M,H,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740.0,CESAR E CHAVEZ               AV,INDIANA,34.0469,-118.2032
9/18/2020 0:00,9/18/2020 0:00,2030,Southwest,332,2,624,BATTERY - SIMPLE ASSAULT,34,F,B,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,ADAMS                        BL,BUCKINGHAM                   RD,34.0326,-118.3405
8/13/2020 0:00,8/13/2020 0:00,2335,Rampart,221,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,M,B,MTA - RED LINE - VERMONT/BEVERLY,308.0,STICK,AO,Adult Other,230.0,VERMONT,BEVERLY,34.0763,-118.2917
1/6/2020 0:00,1/5/2020 0:00,845,Van Nuys,941,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),17,F,W,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812.0,OXNARD                       ST,SEPULVEDA                    BL,34.1794,-118.4662
